algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb,heap_current_bytes,heap_peak_bytes,heap_allocations,is_correct,max_abs_error,max_rel_error
hybrid_strassen,1024,8,0.544764034,91596,91596,0,0,58490880,8400,1,5.9685589803848416e-12,2.3716659520966109e-14
iterative,1024,9,4.124661808,91596,91596,0,0,0,0,1,0,0
recursive,1024,9,30.884224150,91596,91596,0,0,39146800,2147483646,1,1.0800249583553523e-12,3.9962384062599299e-15
hybrid_divide_conquer,1024,9,0.790482573,91596,91596,0,0,38993920,8190,1,1.0231815394945443e-12,3.9962384062599299e-15
strassen,1024,9,17.301688814,91596,91596,0,0,58720200,988663368,1,2.7370106181479059e-10,1.0870604455546026e-12
hybrid_strassen,1024,9,0.592709170,91596,91596,0,0,58490880,8400,1,5.8548721426632255e-12,2.2591963747818493e-14
iterative,1024,10,3.313402481,91596,91596,0,0,0,0,1,0,0
recursive,1024,10,31.044954679,91596,91596,0,0,39146800,2147483646,1,1.0800249583553523e-12,4.0069569439233568e-15
hybrid_divide_conquer,1024,10,1.008858611,91596,91596,0,0,38993920,8190,1,1.0800249583553523e-12,4.0069569439233568e-15
strassen,1024,10,18.752281934,91596,91596,0,0,58720200,988663368,1,2.3644020075153094e-10,9.2769720833562563e-13
hybrid_strassen,1024,10,0.555302706,91596,91596,0,0,58490880,8400,1,6.1390892369672656e-12,2.3920345311293703e-14
